rfid,user name,type
a21a339,BenzIoT,officer_card
fa669439,KuangIoT,officer_card
7a4b9d39,PondIoT,officer_card
caf99339,OIoT,officer_card
16348daa,JuniorIoT,officer_card
da17ae39,BankIoT,officer_card
9ae9e39,BoatIoT,officer_card
4a7a039,NopDev,officer_card
aaeaa439,PongDev,officer_card
7c11a349,WanDev,officer_card
36247928,SongExternal,sticker
6a26e439,FilmSA,officer_card
57c286d,ZineQA,officer_card
223ad56,JimmyHCI,officer_card
327cc756,AeSDE,officer_card
3c8148a6,WizQA,wallet
